Date : 2022-10-13 09:40:26
Directory : f:\Unity\Project\Dungeon Throne\Assets\Scripts
Total : 103 files,  4935 codes, 774 comments, 873 blanks, all 6582 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Enemy\States\EnemyState.cs                      | C#       |         32 |         16 |         14 |         62 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Enemy\States\EnemyState_Attack.cs               | C#       |         47 |          0 |          6 |         53 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Enemy\States\EnemyState_Chase.cs                | C#       |         40 |          0 |          5 |         45 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Enemy\States\EnemyState_Death.cs                | C#       |         34 |          0 |          5 |         39 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Enemy\States\EnemyState_Escape.cs               | C#       |         26 |          1 |          5 |         32 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Enemy\States\EnemyState_Guard.cs                | C#       |         34 |          0 |          7 |         41 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Enemy\States\EnemyState_Hit.cs                  | C#       |         44 |          0 |          5 |         49 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Enemy\States\EnemyState_Idle.cs                 | C#       |         31 |          0 |          5 |         36 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Player\PlayerStateMachine.cs                    | C#       |         30 |          9 |          8 |         47 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Player\States\PlayerState.cs                    | C#       |         31 |         10 |         10 |         51 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Player\States\PlayerState_Death.cs              | C#       |         25 |          0 |          5 |         30 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Player\States\PlayerState_HeavyAttack.cs        | C#       |         48 |          0 |          6 |         54 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Player\States\PlayerState_Hit.cs                | C#       |         29 |          0 |          6 |         35 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Player\States\PlayerState_Idle.cs               | C#       |         41 |          0 |          5 |         46 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Player\States\PlayerState_LightAttack.cs        | C#       |         48 |          0 |          6 |         54 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Player\States\PlayerState_Move.cs               | C#       |         42 |          0 |          5 |         47 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Player\States\PlayerState_Roll.cs               | C#       |         41 |          0 |          7 |         48 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\InputSystem\PlayerInputActions.cs                   | C#       |        650 |         20 |         18 |        688 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\InputSystem\PlayerInputHandler.cs                   | C#       |         97 |          7 |         23 |        127 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Inventory\Item\Base\Item.cs                         | C#       |          9 |          0 |          4 |         13 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Inventory\Item\Comsumable\ComsumableItem.cs         | C#       |         22 |          0 |          6 |         28 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Inventory\Item\EquipmentItem\EquipmentItem.cs       | C#       |         21 |          0 |          5 |         26 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Inventory\Item\Loot\ComsumableLoot.cs               | C#       |         70 |          5 |         16 |         91 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Inventory\Item\Loot\ComsumableLoot_SO.cs            | C#       |          9 |          0 |          3 |         12 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Inventory\Item\Loot\DropObjects_SO.cs               | C#       |         10 |          0 |          4 |         14 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Inventory\Item\Loot\EquipmentLoot.cs                | C#       |         74 |          0 |         17 |         91 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Inventory\Item\Loot\EquipmentLoot_SO.cs             | C#       |          9 |          0 |          3 |         12 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Inventory\Item\Loot\Loot.cs                         | C#       |          9 |          0 |          2 |         11 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Inventory\Item\Loot\WeaponLoot.cs                   | C#       |         74 |          0 |         17 |         91 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Inventory\Item\Loot\WeaponLoot_SO.cs                | C#       |          9 |          0 |          3 |         12 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Inventory\Item\Weapon\WeaponItem.cs                 | C#       |         27 |          0 |          9 |         36 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Inventory\PlayerInventory.cs                        | C#       |        205 |         81 |         32 |        318 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Managers\EventManager.cs                            | C#       |         77 |         48 |         29 |        154 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Managers\GameManager.cs                             | C#       |         42 |          0 |          8 |         50 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Managers\ItemManager.cs                             | C#       |         60 |         43 |         18 |        121 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Managers\ItemUIManager.cs                           | C#       |        438 |        123 |         57 |        618 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Managers\PlayerManager.cs                           | C#       |         33 |          3 |         13 |         49 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Managers\WeaponSlotManager.cs                       | C#       |         37 |          6 |          8 |         51 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\PoolSystem\Pool.cs                                  | C#       |         74 |          4 |          1 |         79 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\PoolSystem\PoolManager.cs                           | C#       |         94 |          3 |          1 |         98 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\SceneInteractions\DamageCollider.cs                 | C#       |         36 |          4 |          9 |         49 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\SceneInteractions\GameFinishedDoor.cs               | C#       |         14 |          0 |          2 |         16 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\SceneInteractions\Portal.cs                         | C#       |         14 |          0 |          3 |         17 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Scene\SceneControl.cs                               | C#       |         10 |          0 |          2 |         12 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Scene\SceneLoader.cs                                | C#       |         52 |          0 |          2 |         54 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Tool\DisplayOnly.cs                                 | C#       |         21 |          3 |          3 |         27 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Tool\Enums.cs                                       | C#       |          9 |          0 |          1 |         10 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Tool\ExcelTool.cs                                   | C#       |         72 |         64 |         13 |        149 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Tool\PersistentSingleton.cs                         | C#       |         24 |          3 |          1 |         28 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Tool\SaveSystem.cs                                  | C#       |         65 |          0 |         12 |         77 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Tool\Singleton.cs                                   | C#       |         23 |          3 |          1 |         27 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Interaction\ButtonComponent.cs                   | C#       |         21 |          3 |          5 |         29 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Interaction\ButtonInventroyGenre.cs              | C#       |         14 |          0 |          3 |         17 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Interaction\FunctionButtonComponent.cs           | C#       |         20 |          0 |          7 |         27 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Interaction\GameUIControl.cs                     | C#       |         37 |          0 |          6 |         43 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Interaction\QuitButtonComponent.cs               | C#       |         15 |          0 |          2 |         17 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Item\ButtonDropComsumable.cs                     | C#       |         11 |          0 |          2 |         13 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Item\ButtonDropEquipment.cs                      | C#       |         11 |          0 |          2 |         13 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Item\ButtonDropWeapon.cs                         | C#       |         11 |          0 |          2 |         13 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Item\ButtonUseComsumable.cs                      | C#       |         11 |          0 |          2 |         13 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Item\ButtonUseEquipment.cs                       | C#       |         11 |          0 |          2 |         13 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Item\ButtonUseWeapon.cs                          | C#       |         11 |          0 |          2 |         13 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Item\ComsumableItemUI.cs                         | C#       |        106 |         22 |         24 |        152 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Item\EquipmentItemUI.cs                          | C#       |        106 |         22 |         24 |        152 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Item\ItemUI.cs                                   | C#       |         12 |          0 |          5 |         17 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\Item\WeaponItemUI.cs                             | C#       |        107 |         22 |         24 |        153 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\LoadGame\LoadGameUI.cs                           | C#       |         34 |          0 |          7 |         41 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\LoadGame\LoadInfo.cs                             | C#       |         12 |          0 |          4 |         16 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\LoadGame\LoadNewGame.cs                          | C#       |         10 |          0 |          2 |         12 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\StateBar\EnemyHealthBar.cs                       | C#       |          6 |          0 |          2 |          8 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\StateBar\HealthBar.cs                            | C#       |          6 |          0 |          2 |          8 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\StateBar\StaminaBar.cs                           | C#       |          6 |          0 |          2 |          8 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\UI\StateBar\StateBar.cs                             | C#       |         61 |         10 |          4 |         75 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Weapon\WeaponSlot.cs                                | C#       |         29 |          0 |          5 |         34 |
| Total                                                                                              |          |      4,935 |        774 |        873 |      6,582 |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
